date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:14:35	23883/23883	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Aug%202018%2000:14:35%20GMT	http://www.ericryananderson.com/project/hell-week	C:/My%20Web%20Sites/Website/www.ericryananderson.com/project/hell-week.html	(from http://www.ericryananderson.com/)
20:14:38	17616/17616	---M--	200	added ('OK')	image/png	date:Wed,%2007%20Feb%202018%2011:54:34%20GMT	http://ericryananderson.imgix.net/siteGray/570_era_3798.png	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/siteGray/570_era_3798.png	(from http://www.ericryananderson.com/)
20:15:47	578482/578482	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Jun%202018%2017:21:56%20GMT	http://ericryananderson.imgix.net/570_ericryananderson_sony_00525b.jpg	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/570_ericryananderson_sony_00525b.jpg	(from http://www.ericryananderson.com/)
20:15:48	22810/22810	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Aug%202018%2000:15:48%20GMT	http://www.ericryananderson.com/project-grid/la-sports	C:/My%20Web%20Sites/Website/www.ericryananderson.com/project-grid/la-sports.html	(from http://www.ericryananderson.com/)
20:15:48	17616/17616	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Apr%202018%2021:52:47%20GMT	http://ericryananderson.imgix.net/siteGray/570_ericryananderson_la_005.png	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/siteGray/570_ericryananderson_la_005.png	(from http://www.ericryananderson.com/)
20:15:58	963593/963593	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Jul%202018%209:54:59%20GMT	http://ericryananderson.imgix.net/570_ericryananderson_la_005.jpg	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/570_ericryananderson_la_005.jpg	(from http://www.ericryananderson.com/)
20:15:58	3375901/3375901	---M--	200	added ('OK')	image/gif	etag:%2233831d-56921477af0af%22	http://www.ericryananderson.com/images/pics/570_ericryananderson_1800tequilagif.gif	C:/My%20Web%20Sites/Website/www.ericryananderson.com/images/pics/570_ericryananderson_1800tequilagif.gif	(from http://www.ericryananderson.com/)
20:15:58	1861365/1861365	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20Aug%202018%2020:14:08%20GMT	http://ericryananderson.imgix.net/570_era_3798.jpg	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/570_era_3798.jpg	(from http://www.ericryananderson.com/)
20:15:58	26177/26177	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Aug%202018%2000:15:58%20GMT	http://www.ericryananderson.com/project-grid/sony	C:/My%20Web%20Sites/Website/www.ericryananderson.com/project-grid/sony.html	(from http://www.ericryananderson.com/)
20:15:58	6713619/6713619	---M--	200	added ('OK')	video/mp4	etag:%22667113-56a9d778c823d%22	http://www.ericryananderson.com/videos/10595_ERA_Website_Video_2018B.mp4	C:/My%20Web%20Sites/Website/www.ericryananderson.com/videos/10595_ERA_Website_Video_2018B.mp4	(from http://www.ericryananderson.com/)
20:15:58	6391/6391	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Apr%202018%2021:16:33%20GMT	http://ericryananderson.imgix.net/siteGray/570_ericryananderson_sony17__035.png	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/siteGray/570_ericryananderson_sony17__035.png	(from http://www.ericryananderson.com/)
20:15:59	955688/955688	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20Aug%202018%2012:15:21%20GMT	http://ericryananderson.imgix.net/570_ericryananderson_sony17__035.jpg	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/570_ericryananderson_sony17__035.jpg	(from http://www.ericryananderson.com/)
20:15:59	46084/46084	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Aug%202018%2000:15:59%20GMT	http://www.ericryananderson.com/project/lone-star	C:/My%20Web%20Sites/Website/www.ericryananderson.com/project/lone-star.html	(from http://www.ericryananderson.com/)
20:15:59	5140/5140	---M--	200	added ('OK')	image/png	date:Wed,%2016%20May%202018%2015:12:05%20GMT	http://ericryananderson.imgix.net/siteGray/570_ericryananderson_lonestar.png	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/siteGray/570_ericryananderson_lonestar.png	(from http://www.ericryananderson.com/)
20:15:59	224140/224140	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Jun%202018%2011:26:22%20GMT	http://ericryananderson.imgix.net/570_ericryananderson_lonestar.jpg	C:/My%20Web%20Sites/Website/ericryananderson.imgix.net/570_ericryananderson_lonestar.jpg	(from http://www.ericryananderson.com/)
